"","4"
"student",1003
"economic",839
"course",421
"class",317
"modeling",213
"financial",173
"teaching",172
"school",148
"market",145
"undergraduate",137
"principles",130
"performance",124
"learning",119
"data",116
"game",115
"program",115
"theory",107
"education",105
"price",95
"instructors",92
"policy",92
"problem",91
"demand",81
"test",79
"experiment",77
"time",75
"introductory",73
"majors",71
"textbooks",71
"college",70
"macroeconomics",69
"public",68
"economists",67
"decision",66
"grade",66
"interest",66
"understanding",66
"academic",64
"exercise",62
"survey",62
"concepts",61
"information",61
"costs",60
"grades",60
"intermediate",59
"exam",57
"impact",55
"changes",54
"microeconomics",54
"evidence",53
"project",53
"business",52
"group",52
"growth",52
"degree",51
"assignment",50
"cost",50
"examples",49
"framework",49
"general",49
"supply",49
"topic",49
"traditional",49
"case",48
"equilibrium",48
"teach",48
"tool",48
"experience",47
"trade",47
"development",46
"behavior",44
"characteristics",44
"instructor",44
"online",44
"run",44
"scores",44
"teachers",44
"faculty",43
"curriculum",42
"average",41
"experiments",41
"literature",41
"economy",40
"choice",38
"concept",38
"national",38
"graduate",37
"skills",37
"textbook",37
"types",37
"assessment",36
"investment",36
"knowledge",36
"labor",36
"pricing",36
"risk",36
"system",36
"value",36
"capital",35
"tax",35
"work",35
"ability",34
"example",34
"marginal",34
"questions",34
"world",34
"aggregate",33
"departments",33
"lecture",33
"material",33
"money",33
"attendance",32
"benefits",32
"firm",32
"pedagogical",32
"prices",32
"strategic",32
"training",32
"web",32
"colleges",31
"control",31
"curve",31
"factors",31
"role",31
"social",31
"design",30
"gender",30
"goods",30
"institutions",30
"literacy",30
"macroeconomic",30
"phd",30
"process",30
"writing",30
"international",29
"relationship",29
"semester",29
"universities",29
"content",28
"instruction",28
"math",28
"measure",28
"strategies",28
"variables",28
"influence",27
"management",27
"profit",27
"techniques",27
"measures",26
"quality",26
"sample",26
"statistics",26
"cheating",25
"consumer",25
"empirical",25
"fixed",25
"learn",25
"monetary",25
"required",25
"simulation",25
"section",24
"variable",24
"bias",23
"change",23
"field",23
"firms",23
"opportunity",23
"private",23
"production",23
"states",23
"advantage",22
"arts",22
"computer",22
"econometrics",22
"income",22
"individual",22
"preferences",22
"standards",22
"undergraduates",22
"utility",22
"bond",21
"competitive",21
"context",21
"countries",21
"evaluation",21
"evaluations",21
"introduction",21
"nature",21
"practice",21
"sections",21
"state",21
"terms",21
"yield",21
"active",20
"activities",20
"american",20
"credit",20
"government",20
"graduates",20
"graphical",20
