"","12"
"financial",518
"student",485
"modeling",171
"course",158
"class",151
"learning",105
"risk",99
"market",96
"value",96
"performance",95
"case",86
"decision",85
"management",84
"capital",80
"teaching",79
"cash",76
"firm",76
"excel",73
"business",71
"time",68
"interest",66
"investment",65
"program",62
"portfolio",58
"faculty",57
"valuation",57
"bank",54
"process",53
"project",53
"data",52
"school",52
"stock",52
"corporate",46
"problem",44
"literature",43
"tool",43
"company",42
"information",42
"growth",41
"assignment",39
"debt",39
"option",39
"accounting",38
"concepts",38
"structure",38
"survey",38
"theory",38
"price",37
"simulation",37
"understanding",37
"exercise",36
"curriculum",35
"economic",35
"flows",35
"example",34
"future",34
"group",34
"traditional",34
"undergraduate",34
"trading",33
"textbooks",32
"world",32
"academic",31
"ethics",31
"journal",31
"application",30
"strategic",30
"cost",29
"experience",29
"investments",29
"journals",29
"technology",29
"topic",29
"industry",28
"introductory",28
"impact",27
"leverage",27
"firms",26
"online",26
"pricing",26
"skills",26
"arbitrage",25
"instructors",25
"team",25
"businessschool",24
"measure",24
"opportunity",24
"disciplines",23
"equity",23
"knowledge",23
"principles",23
"professional",23
"returns",23
"asset",22
"average",22
"framework",22
"general",22
"mba",22
"pedagogical",22
"relationship",22
"assessment",21
"factors",21
"managers",21
"role",21
"applications",20
"bond",20
"budgeting",20
"earnings",20
"evaluation",20
"evidence",20
"international",20
"non",20
"quality",20
"benefits",19
"costs",19
"examples",19
"fund",19
"instruction",19
"instructor",19
"investors",19
"npv",19
"securities",19
"work",19
"applied",18
"characteristics",18
"core",18
"credit",18
"environment",18
"funds",18
"issue",18
"life",18
"mean",18
"personal",18
"probability",18
"professors",18
"software",18
"techniques",18
"college",17
"exam",17
"exchange",17
"income",17
"institutions",17
"methodology",17
"money",17
"pre",17
"questions",17
"service",17
"bankruptcy",16
"behavior",16
"binomial",16
"changes",16
"clm",16
"companies",16
"crisis",16
"evaluations",16
"exercises",16
"measures",16
"objectives",16
"practical",16
"presentation",16
"required",16
"sales",16
"simulations",16
"strategies",16
"teach",16
"analyst",15
"assets",15
"bonds",15
"calculation",15
"educator",15
"empirical",15
"field",15
"financing",15
"futures",15
"game",15
"material",15
"objective",15
"perceptions",15
"purchase",15
"statistics",15
"subject",15
"system",15
"trade",15
"analytical",14
"banking",14
"board",14
"carlo",14
"citation",14
"content",14
"development",14
"estate",14
"function.",14
"global",14
"graduate",14
"internet",14
"ipo",14
"monte",14
"nature",14
"prices",14
"profit",14
