"","15"
"faculty",1191
"school",445
"education",414
"journal",375
"quality",362
"teaching",317
"academic",312
"journals",282
"program",256
"members",236
"doctoral",217
"survey",210
"institutions",208
"articles",205
"time",200
"published",193
"marketing",167
"data",164
"departments",143
"universities",134
"publication",124
"phd",124
"department",123
"businessschool",116
"productivity",116
"rankings",113
"academics",112
"administrators",108
"association",104
"process",100
"financial",99
"evaluation",98
"publications",95
"ranking",93
"national",86
"colleges",85
"researchers",83
"characteristics",81
"discipline",78
"scholarship",78
"tenure",75
"promotion",73
"professors",73
"institutional",71
"evaluations",70
"criteria",69
"disciplines",69
"issue",68
"states",66
"institution",66
"scholarly",66
"individual",64
"respondents",63
"topic",62
"scholars",62
"service",61
"literature",60
"salary",60
"member",59
"boards",55
"activities",54
"chairs",54
"papers",53
"guide",52
"cited",52
"aacsb",51
"response",50
"citation",49
"peer",47
"ranked",47
"area",46
"science",46
"publishing",46
"decision",45
"sample",44
"measures",43
"teacher",42
"list",42
"academy",42
"impact",41
"quantity",41
"section",40
"professor",39
"annual",39
"editors",38
"rank",38
"contribution",37
"individuals",37
"reasons",37
"board",37
"ratings",37
"tier",37
"community",36
"publish",36
"opinions",36
"council",35
"evidence",35
"resources",35
"sources",35
"funding",34
