"","5"
"financial",676
"modeling",474
"market",442
"economic",392
"game",336
"risk",237
"price",225
"investment",183
"capital",181
"decision",178
"textbooks",173
"cash",172
"demand",172
"interest",171
"cost",156
"simulation",150
"stock",146
"costs",132
"portfolio",128
"policy",123
"growth",121
"trade",120
"class",118
"bank",118
"firm",117
"valuation",115
"pricing",115
"understanding",113
"theory",108
"exercise",107
"time",107
"income",104
"problem",97
"excel",92
"tax",91
"textbook",85
"concept",80
"flows",79
"texts",79
"money",79
"debt",76
"supply",73
"topic",73
"examples",72
"option",72
"public",71
"trading",70
"concepts",69
"experiment",69
"structure",68
"prices",68
"investments",67
"profit",66
"framework",65
"introductory",64
"labor",64
"run",63
"equity",63
"intermediate",62
"macroeconomics",60
"assets",59
"earnings",58
"net",57
"application",56
"utility",56
"returns",56
"economy",55
"credit",55
"impact",54
"equilibrium",54
"fixed",52
"undergraduate",50
"probability",50
"currency",50
"account",49
"budgeting",49
"asset",49
"curve",49
"goods",49
"firms",48
"traditional",47
"leverage",47
"student",46
"principles",46
"intuitive",45
"bond",45
"tool",44
"forward",44
"aggregate",44
"forecasting",44
"techniques",43
"marginal",43
"yield",43
"assumptions",42
"bankruptcy",42
"benefits",41
"corporate",41
"function.",41
"fund",41
"funds",40
